id,trial,strain,drug,TBZ,TBZOH
KS_TBZ_240401_012,2,K267,TBZ,38886192.64,7706834.37
KS_TBZ_240401_013,2,K267,TBZ,65739017.40,12528031.40
KS_TBZ_240401_014,2,K267,TBZ,66690828.51,13364808.82
KS_TBZ_240401_019,2,K267E,TBZ,33117969.16,4121254.99
KS_TBZ_240401_020,2,K267E,TBZ,16241136.24,3807183.05
KS_TBZ_240401_021,2,K267E,TBZ,54252822.71,6794011.53
KS_TBZ_240404_012,3,K267,TBZ,94267331.70,3132184.18
KS_TBZ_240404_013,3,K267,TBZ,91380632.32,3818035.35
KS_TBZ_240404_014,3,K267,TBZ,43393000.47,2389505.92
KS_TBZ_240404_019,3,K267E,TBZ,77626994.45,1261971.29
KS_TBZ_240404_020,3,K267E,TBZ,57350280.76,892463.76
KS_TBZ_240404_021,3,K267E,TBZ,51817472.19,744321.78
KS_TBZ_240419_012,4,K267,TBZ,189302466.70,2949924.62
KS_TBZ_240419_013,4,K267,TBZ,137115883.60,3275843.34
KS_TBZ_240419_014,4,K267,TBZ,183609594.30,4757861.30
KS_TBZ_240419_019,4,K267E,TBZ,109485313.10,2937252.48
KS_TBZ_240419_020,4,K267E,TBZ,172837290.20,2461776.55
KS_TBZ_240419_021,4,K267E,TBZ,144855398.70,1791205.79
KS_TBZ_240420_012,5,K267,TBZ,140202143.30,5067405.95
KS_TBZ_240420_013,5,K267,TBZ,104916442.70,3820041.77
KS_TBZ_240420_014,5,K267,TBZ,209603164.00,6418362.77
KS_TBZ_240420_019,5,K267E,TBZ,133526299.40,3505430.97
KS_TBZ_240420_020,5,K267E,TBZ,201271146.90,4676371.13
KS_TBZ_240420_021,5,K267E,TBZ,110115339.20,3006117.08
KS_TBZ_LYS_240325_012,6,K267,TBZ,68465291.22,1817526.40
KS_TBZ_LYS_240325_013,6,K267,TBZ,23777051.86,972556.77
KS_TBZ_LYS_240325_014,6,K267,TBZ,75184651.23,2861470.06
KS_TBZ_LYS_240325_019,6,K267E,TBZ,46180668.54,330935.26
KS_TBZ_LYS_240325_020,6,K267E,TBZ,23922429.11,135014.60
KS_TBZ_LYS_240325_021,6,K267E,TBZ,53719403.17,354008.06
KS_CLOM_TBZ_240312_016,1,K267,TBZ,45169747.90,3714850.06
KS_CLOM_TBZ_240312_018,1,K267E,TBZ,75414767.34,779116.45
